"restaurant name","country code",city,long,lat,cuisines,booking,online_delivery,delivery,price,rating
"Talho Capixaba",30,"Rio de Janeiro",-43.22566667,-22.98516667,"Bakery, Sandwich, Brazilian",No,No,No,22.80,4.4
"Leme Light",30,"Rio de Janeiro",-43.17279167,-22.963925,Brazilian,No,No,No,7.60,4.2
Shirley,30,"Rio de Janeiro",-43.17126389,-22.96337222,"Brazilian, Seafood",No,No,No,47.50,4.2
"Quiosque Chopp Brahma",30,"Rio de Janeiro",-43.341164,-22.870413,"Bar Food, Brazilian",No,No,No,13.30,0
Apraz?vel,30,"Rio de Janeiro",-43.18736944,-22.92481389,Brazilian,No,No,No,57.00,4.7
"Aconchego Carioca",30,"Rio de Janeiro",-43.21551111,-22.91370833,"Brazilian, Bar Food",No,No,No,16.15,4.6
"Garota de Ipanema",30,"Rio de Janeiro",-43.16266667,-22.94783333,"Brazilian, Bar Food",No,No,No,15.20,4.3
"Cantina Famiglia Mancini",30,"S粒o Paulo",-46.64516667,-23.55066667,"Italian, Pizza",No,No,No,47.50,4.5
"Templo da Carne - Marcos Bassi",30,"S粒o Paulo",-46.64633333,-23.559,"Steak, BBQ",No,No,No,47.50,4.4
"Gopala Hari",30,"S粒o Paulo",-46.65866667,-23.55616667,Indian,No,No,No,13.30,3.1
Jiquitaia,30,"S粒o Paulo",-46.657523,-23.55671,Brazilian,No,No,No,19.00,4.1
"Skye - Hotel Unique",30,"S粒o Paulo",-46.666851,-23.581688,"Beverages, International",No,No,No,57.00,4.8
"Les 3 Brasseurs",30,"S粒o Paulo",-46.67511,-23.582135,"French, Brazilian, Beverages",No,No,No,22.80,4.6
"Red Steak & Burger",30,"S粒o Paulo",-46.683888,-23.585324,"Brazilian, Grill",No,No,No,14.25,3.9
"Cantinho da Gula",30,"S粒o Paulo",-46.67566667,-23.581,Brazilian,No,No,No,10.45,0
"Paris 6 Classique",30,"S粒o Paulo",-46.666041,-23.561568,French,No,No,No,38.00,3.4
"Kawa Sushi",30,"S粒o Paulo",-46.657418,-23.571638,"Sushi, Japanese",No,No,No,22.80,3.5
"A Figueira Rubaiyat",30,"S粒o Paulo",-46.66983333,-23.5655,"BBQ, Grill, Brazilian",No,No,No,57.00,4.3
Kinoshita,30,"S粒o Paulo",-46.67133333,-23.59233333,Sushi,No,No,No,43.70,3.9
Meats,30,"S粒o Paulo",-46.68133333,-23.56483333,"Gourmet Fast Food, Burger",No,No,No,22.80,4.3
Paribar,30,"S粒o Paulo",-46.64159444,-23.54664167,"Brazilian, Italian",No,No,No,28.50,4.3
"Terra?o It暲lia",30,"S粒o Paulo",-46.643425,-23.545163,Italian,No,No,No,76.00,4.4
"Divino Fog粒o",30,"S粒o Paulo",-46.63716667,-23.5995,"Brazilian, Mineira",No,No,No,12.35,0
"Super Grill",30,"S粒o Paulo",-46.698574,-23.622925,Brazilian,No,No,No,9.50,0
"Esquina Mocot?",30,"S粒o Paulo",-46.581672,-23.486535,"Brazilian, North Eastern",No,No,No,19.00,4.4
Veloso,30,"S粒o Paulo",-46.63566667,-23.58516667,"Brazilian, Bar Food, Beverages",No,No,No,13.30,4.6
"Sainte Marie Gastronomia",30,"S粒o Paulo",-46.746958,-23.609207,"Lebanese, Arabian",No,No,No,22.80,4.1
"Austin's BBQ and Oyster Bar",216,Albany,-84.221535,31.610387,"BBQ, Burger, Seafood",No,No,No,25,3.3
"BJ's Country Buffet",216,Albany,-84.207095,31.608743,"American, BBQ",No,No,No,10,3.3
"Cookie Shoppe",216,Albany,-84.154,31.5772,,No,No,No,0,3.4
"El Vaquero Mexican Restaurant",216,Albany,-84.2194,31.6158,Mexican,No,No,No,0,3.4
"Elements Coffee Co - Northwest",216,Albany,-84.206944,31.622412,"Coffee and Tea, Sandwich",No,No,No,10,3.4
"Pearly's Famous Country Cookng",216,Albany,-84.1759,31.5882,,No,No,No,0,3.4
Chick-fil-A,216,Albany,-84.2193,31.616,"Fast Food",No,No,No,10,3.5
