YM,state,rev,city,lat,long
2016-09,RR,72.89,"boa vista",2.7171004644238903,-60.67286554709666
2016-09,SP,134.97,"sao paulo",-23.155308346172184,-47.08407367161121
2016-10,AL,82.49000000000001,maceio,-9.599728966379804,-36.05201677757491
2016-10,BA,894.05,salvador,-13.049360869325763,-39.56064869603112
2016-10,CE,1689.38,fortaleza,-4.363151229628109,-39.004139763337946
2016-10,DF,1043.77,brasilia,-15.810884759001192,-47.96963045270299
2016-10,ES,917.79,vitória,-20.105145324187408,-40.50318322322478
2016-10,GO,984.39,"novo gama",-16.577644584237582,-49.33419502806311
2016-10,MA,704.26,"sao luis",-3.7989966701671256,-44.8186268933351
2016-10,MG,4652.22,"belo horizonte",-19.864647279116994,-44.4216150659084
2016-10,MT,327.78999999999996,cuiabá,-14.156481652355602,-55.7089558240193
2016-10,PA,1087.6,belem,-2.631213066534228,-49.48586167708255
2016-10,PB,49.9,"joao pessoa",-7.088297909249018,-35.821678258393
2016-10,PE,1369.1000000000001,recife,-8.179098403904238,-35.75886555563942
2016-10,PI,210,teresina,-5.754988726061566,-42.50954149377497
2016-10,PR,2004.6100000000006,curitiba,-24.79360667662306,-50.87966244315085
2016-10,RJ,9187.179999999991,"rio de janeiro",-22.74347732166985,-43.15554026830323
2016-10,RN,728.69,"são paulo",-5.856702064225203,-35.99007862513834
2016-10,RR,39.7,"boa vista",2.7171004644238903,-60.67286554709666
2016-10,RS,3202.32,"nova andradina",-29.679190623281976,-52.03265163171481
2016-10,SC,2238.06,"balneario de picarras",-27.222485826583682,-49.61793687268917
2016-10,SE,285.45000000000005,aracaju,-10.866199407643311,-37.18116903794632
2016-10,SP,12808.549999999976,"sao paulo",-23.155308346172184,-47.08407367161121
2016-12,PR,10.9,curitiba,-24.79360667662306,-50.87966244315085
2017-01,AC,589.6,"sao paulo",-9.702555041197325,-68.45185194823803
2017-01,AL,393.97,maceio,-9.599728966379804,-36.05201677757491
2017-01,BA,3956.0200000000004,salvador,-13.049360869325763,-39.56064869603112
2017-01,CE,1049.4899999999998,fortaleza,-4.363151229628109,-39.004139763337946
2017-01,DF,1826.6300000000003,brasilia,-15.810884759001192,-47.96963045270299
2017-01,ES,2255.96,vitória,-20.105145324187408,-40.50318322322478
2017-01,GO,4227.49,"novo gama",-16.577644584237582,-49.33419502806311
2017-01,MA,618.0899999999999,"sao luis",-3.7989966701671256,-44.8186268933351
2017-01,MG,16241.68999999998,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-01,MS,149,"campo grande",-20.765005763284808,-54.532140315494395
2017-01,MT,1976.6399999999999,cuiabá,-14.156481652355602,-55.7089558240193
2017-01,PA,2226.2700000000004,belem,-2.631213066534228,-49.48586167708255
2017-01,PB,409.79999999999995,"joao pessoa",-7.088297909249018,-35.821678258393
2017-01,PE,1884.48,recife,-8.179098403904238,-35.75886555563942
2017-01,PI,1250.8500000000001,teresina,-5.754988726061566,-42.50954149377497
2017-01,PR,5321.629999999998,curitiba,-24.79360667662306,-50.87966244315085
2017-01,RJ,12683.19999999999,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-01,RN,1124.87,"são paulo",-5.856702064225203,-35.99007862513834
2017-01,RO,682.1899999999999,"porto velho",-10.341289125647087,-62.72057854860225
2017-01,RS,12189.979999999989,"nova andradina",-29.679190623281976,-52.03265163171481
2017-01,SC,6661.530000000001,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-01,SE,263.8,aracaju,-10.866199407643311,-37.18116903794632
2017-01,SP,41485.20000000013,"sao paulo",-23.155308346172184,-47.08407367161121
2017-01,TO,629.89,palmas,-9.503700370876619,-48.34866106202656
2017-02,AC,450.4,"sao paulo",-9.702555041197325,-68.45185194823803
2017-02,AL,2616.03,maceio,-9.599728966379804,-36.05201677757491
2017-02,AM,902.8899999999999,manaus,-3.3493363041586877,-60.53742965565406
2017-02,AP,549.85,macapa,0.08602518971632298,-51.2343044975123
2017-02,BA,7087.679999999994,salvador,-13.049360869325763,-39.56064869603112
2017-02,CE,2095.06,fortaleza,-4.363151229628109,-39.004139763337946
2017-02,DF,10186.809999999998,brasilia,-15.810884759001192,-47.96963045270299
2017-02,ES,3925.590000000001,vitória,-20.105145324187408,-40.50318322322478
2017-02,GO,2265.0500000000006,"novo gama",-16.577644584237582,-49.33419502806311
2017-02,MA,895.28,"sao luis",-3.7989966701671256,-44.8186268933351
2017-02,MG,29556.380000000052,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-02,MS,7519.789999999998,"campo grande",-20.765005763284808,-54.532140315494395
2017-02,MT,2988.4,cuiabá,-14.156481652355602,-55.7089558240193
2017-02,PA,9901.489999999998,belem,-2.631213066534228,-49.48586167708255
2017-02,PB,2169.73,"joao pessoa",-7.088297909249018,-35.821678258393
2017-02,PE,2781.9099999999994,recife,-8.179098403904238,-35.75886555563942
2017-02,PI,3043.7900000000004,teresina,-5.754988726061566,-42.50954149377497
2017-02,PR,18118.809999999983,curitiba,-24.79360667662306,-50.87966244315085
2017-02,RJ,32304.590000000113,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-02,RN,398.9,"são paulo",-5.856702064225203,-35.99007862513834
2017-02,RO,1622.1600000000005,"porto velho",-10.341289125647087,-62.72057854860225
2017-02,RR,50.8,"boa vista",2.7171004644238903,-60.67286554709666
2017-02,RS,15832.609999999984,"nova andradina",-29.679190623281976,-52.03265163171481
2017-02,SC,6937.849999999993,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-02,SE,1861.8200000000002,aracaju,-10.866199407643311,-37.18116903794632
2017-02,SP,78130.08000000005,"sao paulo",-23.155308346172184,-47.08407367161121
2017-02,TO,765.6,palmas,-9.503700370876619,-48.34866106202656
2017-03,AC,455.99,"sao paulo",-9.702555041197325,-68.45185194823803
2017-03,AL,1174.79,maceio,-9.599728966379804,-36.05201677757491
2017-03,AM,631.3900000000001,manaus,-3.3493363041586877,-60.53742965565406
2017-03,AP,303.79,macapa,0.08602518971632298,-51.2343044975123
2017-03,BA,15727.219999999988,salvador,-13.049360869325763,-39.56064869603112
2017-03,CE,5969.98,fortaleza,-4.363151229628109,-39.004139763337946
2017-03,DF,6879.959999999995,brasilia,-15.810884759001192,-47.96963045270299
2017-03,ES,4985.409999999998,vitória,-20.105145324187408,-40.50318322322478
2017-03,GO,8704.259999999995,"novo gama",-16.577644584237582,-49.33419502806311
2017-03,MA,1950.8000000000004,"sao luis",-3.7989966701671256,-44.8186268933351
2017-03,MG,41639.100000000166,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-03,MS,6452.549999999999,"campo grande",-20.765005763284808,-54.532140315494395
2017-03,MT,2157.09,cuiabá,-14.156481652355602,-55.7089558240193
2017-03,PA,7647.769999999997,belem,-2.631213066534228,-49.48586167708255
2017-03,PB,4387.99,"joao pessoa",-7.088297909249018,-35.821678258393
2017-03,PE,6648.049999999999,recife,-8.179098403904238,-35.75886555563942
2017-03,PI,2106.5,teresina,-5.754988726061566,-42.50954149377497
2017-03,PR,15733.299999999981,curitiba,-24.79360667662306,-50.87966244315085
2017-03,RJ,55034.14000000015,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-03,RN,1741.7199999999998,"são paulo",-5.856702064225203,-35.99007862513834
2017-03,RO,1864.8600000000004,"porto velho",-10.341289125647087,-62.72057854860225
2017-03,RR,270.99,"boa vista",2.7171004644238903,-60.67286554709666
2017-03,RS,20091.53000000002,"nova andradina",-29.679190623281976,-52.03265163171481
2017-03,SC,18284.45999999998,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-03,SE,2498.6000000000004,aracaju,-10.866199407643311,-37.18116903794632
2017-03,SP,134271.41999999955,"sao paulo",-23.155308346172184,-47.08407367161121
2017-03,TO,727.66,palmas,-9.503700370876619,-48.34866106202656
2017-04,AC,1162.38,"sao paulo",-9.702555041197325,-68.45185194823803
2017-04,AL,4718.0199999999995,maceio,-9.599728966379804,-36.05201677757491
2017-04,AM,836.3799999999999,manaus,-3.3493363041586877,-60.53742965565406
2017-04,BA,18282.059999999998,salvador,-13.049360869325763,-39.56064869603112
2017-04,CE,5759.729999999997,fortaleza,-4.363151229628109,-39.004139763337946
2017-04,DF,7527.5799999999945,brasilia,-15.810884759001192,-47.96963045270299
2017-04,ES,5475.199999999996,vitória,-20.105145324187408,-40.50318322322478
2017-04,GO,5495.73,"novo gama",-16.577644584237582,-49.33419502806311
2017-04,MA,3243.4200000000005,"sao luis",-3.7989966701671256,-44.8186268933351
2017-04,MG,39780.97000000011,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-04,MS,1904.0600000000009,"campo grande",-20.765005763284808,-54.532140315494395
2017-04,MT,3724.5000000000005,cuiabá,-14.156481652355602,-55.7089558240193
2017-04,PA,4776.149999999998,belem,-2.631213066534228,-49.48586167708255
2017-04,PB,2957.3700000000003,"joao pessoa",-7.088297909249018,-35.821678258393
2017-04,PE,3810.32,recife,-8.179098403904238,-35.75886555563942
2017-04,PI,2496.9300000000003,teresina,-5.754988726061566,-42.50954149377497
2017-04,PR,15958.08999999998,curitiba,-24.79360667662306,-50.87966244315085
2017-04,RJ,57889.84000000016,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-04,RN,1243.8700000000001,"são paulo",-5.856702064225203,-35.99007862513834
2017-04,RO,968.5799999999999,"porto velho",-10.341289125647087,-62.72057854860225
2017-04,RR,48.95,"boa vista",2.7171004644238903,-60.67286554709666
2017-04,RS,17195.239999999976,"nova andradina",-29.679190623281976,-52.03265163171481
2017-04,SC,11607.199999999983,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-04,SE,2595.17,aracaju,-10.866199407643311,-37.18116903794632
2017-04,SP,131192.39999999953,"sao paulo",-23.155308346172184,-47.08407367161121
2017-04,TO,3192.8399999999997,palmas,-9.503700370876619,-48.34866106202656
2017-05,AC,2094.3900000000003,"sao paulo",-9.702555041197325,-68.45185194823803
2017-05,AL,4773.24,maceio,-9.599728966379804,-36.05201677757491
2017-05,AM,1072.77,manaus,-3.3493363041586877,-60.53742965565406
2017-05,AP,1320.38,macapa,0.08602518971632298,-51.2343044975123
2017-05,BA,16470.419999999984,salvador,-13.049360869325763,-39.56064869603112
2017-05,CE,10466.269999999993,fortaleza,-4.363151229628109,-39.004139763337946
2017-05,DF,7903.279999999996,brasilia,-15.810884759001192,-47.96963045270299
2017-05,ES,12898.429999999991,vitória,-20.105145324187408,-40.50318322322478
2017-05,GO,16615.96999999999,"novo gama",-16.577644584237582,-49.33419502806311
2017-05,MA,3300.0800000000004,"sao luis",-3.7989966701671256,-44.8186268933351
2017-05,MG,49648.35000000017,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-05,MS,3387.3400000000006,"campo grande",-20.765005763284808,-54.532140315494395
2017-05,MT,6731.109999999993,cuiabá,-14.156481652355602,-55.7089558240193
2017-05,PA,5404.139999999998,belem,-2.631213066534228,-49.48586167708255
2017-05,PB,2899.2099999999987,"joao pessoa",-7.088297909249018,-35.821678258393
2017-05,PE,10419.699999999992,recife,-8.179098403904238,-35.75886555563942
2017-05,PI,5972.799999999998,teresina,-5.754988726061566,-42.50954149377497
2017-05,PR,31682.90000000011,curitiba,-24.79360667662306,-50.87966244315085
2017-05,RJ,74628.81000000007,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-05,RN,4683.56,"são paulo",-5.856702064225203,-35.99007862513834
2017-05,RO,551.46,"porto velho",-10.341289125647087,-62.72057854860225
2017-05,RR,233.11,"boa vista",2.7171004644238903,-60.67286554709666
2017-05,RS,28407.76000000009,"nova andradina",-29.679190623281976,-52.03265163171481
2017-05,SC,23368.690000000013,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-05,SE,681.0899999999999,aracaju,-10.866199407643311,-37.18116903794632
2017-05,SP,175419.59999999765,"sao paulo",-23.155308346172184,-47.08407367161121
2017-05,TO,2124.33,palmas,-9.503700370876619,-48.34866106202656
2017-06,AC,385.78,"sao paulo",-9.702555041197325,-68.45185194823803
2017-06,AL,951.65,maceio,-9.599728966379804,-36.05201677757491
2017-06,AM,169.99,manaus,-3.3493363041586877,-60.53742965565406
2017-06,AP,252.70000000000002,macapa,0.08602518971632298,-51.2343044975123
2017-06,BA,20988.57000000002,salvador,-13.049360869325763,-39.56064869603112
2017-06,CE,10060.189999999995,fortaleza,-4.363151229628109,-39.004139763337946
2017-06,DF,8325.859999999993,brasilia,-15.810884759001192,-47.96963045270299
2017-06,ES,10345.829999999985,vitória,-20.105145324187408,-40.50318322322478
2017-06,GO,9395.259999999991,"novo gama",-16.577644584237582,-49.33419502806311
2017-06,MA,1779.3000000000004,"sao luis",-3.7989966701671256,-44.8186268933351
2017-06,MG,46397.03000000012,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-06,MS,3807.4199999999996,"campo grande",-20.765005763284808,-54.532140315494395
2017-06,MT,4326.53,cuiabá,-14.156481652355602,-55.7089558240193
2017-06,PA,5730.269999999996,belem,-2.631213066534228,-49.48586167708255
2017-06,PB,6182.919999999998,"joao pessoa",-7.088297909249018,-35.821678258393
2017-06,PE,5804.579999999996,recife,-8.179098403904238,-35.75886555563942
2017-06,PI,2147.4700000000003,teresina,-5.754988726061566,-42.50954149377497
2017-06,PR,21538.180000000026,curitiba,-24.79360667662306,-50.87966244315085
2017-06,RJ,54330.510000000155,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-06,RN,1241.36,"são paulo",-5.856702064225203,-35.99007862513834
2017-06,RO,1800.92,"porto velho",-10.341289125647087,-62.72057854860225
2017-06,RR,93.4,"boa vista",2.7171004644238903,-60.67286554709666
2017-06,RS,23942.510000000064,"nova andradina",-29.679190623281976,-52.03265163171481
2017-06,SC,13323.32999999998,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-06,SE,1456.51,aracaju,-10.866199407643311,-37.18116903794632
2017-06,SP,171173.35999999815,"sao paulo",-23.155308346172184,-47.08407367161121
2017-06,TO,3965.18,palmas,-9.503700370876619,-48.34866106202656
2017-07,AC,618.6899999999999,"sao paulo",-9.702555041197325,-68.45185194823803
2017-07,AL,2336.09,maceio,-9.599728966379804,-36.05201677757491
2017-07,AM,705.5999999999999,manaus,-3.3493363041586877,-60.53742965565406
2017-07,AP,259.9,macapa,0.08602518971632298,-51.2343044975123
2017-07,BA,19239.549999999996,salvador,-13.049360869325763,-39.56064869603112
2017-07,CE,7759.519999999994,fortaleza,-4.363151229628109,-39.004139763337946
2017-07,DF,10828.01999999999,brasilia,-15.810884759001192,-47.96963045270299
2017-07,ES,7219.099999999993,vitória,-20.105145324187408,-40.50318322322478
2017-07,GO,8923.189999999991,"novo gama",-16.577644584237582,-49.33419502806311
2017-07,MA,6481.339999999999,"sao luis",-3.7989966701671256,-44.8186268933351
2017-07,MG,54601.0800000002,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-07,MS,3722.9400000000005,"campo grande",-20.765005763284808,-54.532140315494395
2017-07,MT,10288.679999999995,cuiabá,-14.156481652355602,-55.7089558240193
2017-07,PA,5459.009999999997,belem,-2.631213066534228,-49.48586167708255
2017-07,PB,4241.0599999999995,"joao pessoa",-7.088297909249018,-35.821678258393
2017-07,PE,9880.419999999995,recife,-8.179098403904238,-35.75886555563942
2017-07,PI,2202.01,teresina,-5.754988726061566,-42.50954149377497
2017-07,PR,24569.00000000004,curitiba,-24.79360667662306,-50.87966244315085
2017-07,RJ,77247.5900000001,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-07,RN,3193.990000000001,"são paulo",-5.856702064225203,-35.99007862513834
2017-07,RO,1083.72,"porto velho",-10.341289125647087,-62.72057854860225
2017-07,RR,179.9,"boa vista",2.7171004644238903,-60.67286554709666
2017-07,RS,29106.960000000086,"nova andradina",-29.679190623281976,-52.03265163171481
2017-07,SC,18702.259999999995,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-07,SE,1372.0900000000001,aracaju,-10.866199407643311,-37.18116903794632
2017-07,SP,181968.08999999732,"sao paulo",-23.155308346172184,-47.08407367161121
2017-07,TO,97.5,palmas,-9.503700370876619,-48.34866106202656
2017-08,AC,637.93,"sao paulo",-9.702555041197325,-68.45185194823803
2017-08,AL,8972.069999999996,maceio,-9.599728966379804,-36.05201677757491
2017-08,AM,1276.6,manaus,-3.3493363041586877,-60.53742965565406
2017-08,AP,289.79,macapa,0.08602518971632298,-51.2343044975123
2017-08,BA,26113.270000000037,salvador,-13.049360869325763,-39.56064869603112
2017-08,CE,10642.659999999987,fortaleza,-4.363151229628109,-39.004139763337946
2017-08,DF,9863.809999999992,brasilia,-15.810884759001192,-47.96963045270299
2017-08,ES,13158.309999999985,vitória,-20.105145324187408,-40.50318322322478
2017-08,GO,13486.899999999992,"novo gama",-16.577644584237582,-49.33419502806311
2017-08,MA,5999.23,"sao luis",-3.7989966701671256,-44.8186268933351
2017-08,MG,59302.50000000017,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-08,MS,3841.6199999999994,"campo grande",-20.765005763284808,-54.532140315494395
2017-08,MT,6709.449999999997,cuiabá,-14.156481652355602,-55.7089558240193
2017-08,PA,14765.199999999993,belem,-2.631213066534228,-49.48586167708255
2017-08,PB,2324.7700000000004,"joao pessoa",-7.088297909249018,-35.821678258393
2017-08,PE,13074.249999999987,recife,-8.179098403904238,-35.75886555563942
2017-08,PI,4626.399999999999,teresina,-5.754988726061566,-42.50954149377497
2017-08,PR,28526.770000000095,curitiba,-24.79360667662306,-50.87966244315085
2017-08,RJ,78232.35000000006,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-08,RN,2545.4100000000003,"são paulo",-5.856702064225203,-35.99007862513834
2017-08,RO,2236.8800000000006,"porto velho",-10.341289125647087,-62.72057854860225
2017-08,RS,34295.24000000012,"nova andradina",-29.679190623281976,-52.03265163171481
2017-08,SC,22291.820000000032,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-08,SE,4821.6900000000005,aracaju,-10.866199407643311,-37.18116903794632
2017-08,SP,198078.29999999682,"sao paulo",-23.155308346172184,-47.08407367161121
2017-08,TO,2132.57,palmas,-9.503700370876619,-48.34866106202656
2017-09,AC,1786.8899999999999,"sao paulo",-9.702555041197325,-68.45185194823803
2017-09,AL,4365.289999999999,maceio,-9.599728966379804,-36.05201677757491
2017-09,AM,1163.28,manaus,-3.3493363041586877,-60.53742965565406
2017-09,AP,364.6,macapa,0.08602518971632298,-51.2343044975123
2017-09,BA,23947.300000000025,salvador,-13.049360869325763,-39.56064869603112
2017-09,CE,16891.82,fortaleza,-4.363151229628109,-39.004139763337946
2017-09,DF,13319.88999999999,brasilia,-15.810884759001192,-47.96963045270299
2017-09,ES,11235.949999999988,vitória,-20.105145324187408,-40.50318322322478
2017-09,GO,13889.539999999985,"novo gama",-16.577644584237582,-49.33419502806311
2017-09,MA,9519.249999999998,"sao luis",-3.7989966701671256,-44.8186268933351
2017-09,MG,72467.03000000013,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-09,MS,4902.709999999998,"campo grande",-20.765005763284808,-54.532140315494395
2017-09,MT,6940.909999999994,cuiabá,-14.156481652355602,-55.7089558240193
2017-09,PA,6218.389999999999,belem,-2.631213066534228,-49.48586167708255
2017-09,PB,5499.279999999998,"joao pessoa",-7.088297909249018,-35.821678258393
2017-09,PE,15077.509999999987,recife,-8.179098403904238,-35.75886555563942
2017-09,PI,3146.3599999999997,teresina,-5.754988726061566,-42.50954149377497
2017-09,PR,22575.58000000004,curitiba,-24.79360667662306,-50.87966244315085
2017-09,RJ,94455.98000000007,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-09,RN,3445.9400000000005,"são paulo",-5.856702064225203,-35.99007862513834
2017-09,RO,4197.990000000001,"porto velho",-10.341289125647087,-62.72057854860225
2017-09,RR,39.99,"boa vista",2.7171004644238903,-60.67286554709666
2017-09,RS,37202.05000000011,"nova andradina",-29.679190623281976,-52.03265163171481
2017-09,SC,25556.030000000053,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-09,SE,2815.2900000000004,aracaju,-10.866199407643311,-37.18116903794632
2017-09,SP,216697.92999999653,"sao paulo",-23.155308346172184,-47.08407367161121
2017-09,TO,3693.1299999999997,palmas,-9.503700370876619,-48.34866106202656
2017-10,AC,735.2,"sao paulo",-9.702555041197325,-68.45185194823803
2017-10,AL,5344.359999999998,maceio,-9.599728966379804,-36.05201677757491
2017-10,AM,70.88,manaus,-3.3493363041586877,-60.53742965565406
2017-10,AP,1591.8500000000001,macapa,0.08602518971632298,-51.2343044975123
2017-10,BA,24734.200000000044,salvador,-13.049360869325763,-39.56064869603112
2017-10,CE,12112.009999999995,fortaleza,-4.363151229628109,-39.004139763337946
2017-10,DF,13093.389999999987,brasilia,-15.810884759001192,-47.96963045270299
2017-10,ES,10380.689999999988,vitória,-20.105145324187408,-40.50318322322478
2017-10,GO,16591.049999999985,"novo gama",-16.577644584237582,-49.33419502806311
2017-10,MA,10335.799999999992,"sao luis",-3.7989966701671256,-44.8186268933351
2017-10,MG,81546.40000000007,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-10,MS,6267.839999999996,"campo grande",-20.765005763284808,-54.532140315494395
2017-10,MT,10749.009999999993,cuiabá,-14.156481652355602,-55.7089558240193
2017-10,PA,6751.579999999995,belem,-2.631213066534228,-49.48586167708255
2017-10,PB,10284.31,"joao pessoa",-7.088297909249018,-35.821678258393
2017-10,PE,17426.889999999992,recife,-8.179098403904238,-35.75886555563942
2017-10,PI,4047.0400000000004,teresina,-5.754988726061566,-42.50954149377497
2017-10,PR,33100.660000000105,curitiba,-24.79360667662306,-50.87966244315085
2017-10,RJ,96958.50999999979,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-10,RN,4202.47,"são paulo",-5.856702064225203,-35.99007862513834
2017-10,RO,1657.95,"porto velho",-10.341289125647087,-62.72057854860225
2017-10,RR,388.98,"boa vista",2.7171004644238903,-60.67286554709666
2017-10,RS,37561.210000000094,"nova andradina",-29.679190623281976,-52.03265163171481
2017-10,SC,21022.55000000002,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-10,SE,4294.21,aracaju,-10.866199407643311,-37.18116903794632
2017-10,SP,226121.7299999957,"sao paulo",-23.155308346172184,-47.08407367161121
