ym,mau,view_cnt,cart_cnt,purchase_cnt,rev,arpu,arppu
2020-09,15334,15310,1054,627,96353.01000000017,6.283618755706285,153.67306220095722
2020-10,84216,84108,6424,3796,562590.3899999916,6.680326660016999,148.2061090621685
2020-11,92600,92546,7434,4328,787886.2399999866,8.508490712742836,182.04395563770484
2020-12,35240,35214,3021,1722,326794.2499999986,9.273389614074874,189.77598722415715
