ym,category,pu_before,ret
2020-11,electronics.calculator,0,0.0000
2020-11,electronics.camera.video,0,0.0000
2020-11,electronics.clocks,0,0.0000
2020-11,electronics.tablet,3,2.4390
2020-11,electronics.telephone,13,2.3050
2020-11,electronics.video.projector,0,0.0000
2020-11,electronics.video.tv,0,0.0000
2020-11,electronics.video.tv_remote,0,0.0000
2020-11,furniture.living_room.shelving,0,0.0000
2020-11,kids.toys,0,0.0000
2020-11,medicine.tools.tonometer,0,0.0000
2020-11,stationery.battery,0,0.0000
2020-11,stationery.cartrige,5,1.3624
2020-11,stationery.paper,0,0.0000
2020-11,stationery.stapler,1,50.0000
2020-12,,7,1.7766
2020-12,accessories.bag,0,0.0000
2020-12,appliances.environment.air_heater,0,0.0000
2020-12,appliances.environment.vacuum,0,0.0000
2020-12,appliances.kitchen.blender,0,0.0000
2020-12,appliances.kitchen.grill,1,25.0000
2020-12,appliances.kitchen.kettle,1,50.0000
2020-12,appliances.kitchen.meat_grinder,0,0.0000
2020-12,appliances.personal.massager,0,0.0000
2020-12,appliances.sewing_machine,0,0.0000
2020-12,appliances.steam_cleaner,0,0.0000
2020-12,auto.accessories.compressor,0,0.0000
2020-12,auto.accessories.gps,0,0.0000
2020-12,auto.accessories.parktronic,0,0.0000
2020-12,auto.accessories.player,0,0.0000
2020-12,auto.accessories.radar,0,0.0000
2020-12,auto.accessories.videoregister,0,0.0000
2020-12,computers.components.cdrw,0,0.0000
2020-12,computers.components.cooler,0,0.0000
2020-12,computers.components.cpu,3,6.3830
2020-12,computers.components.hdd,0,0.0000
2020-12,computers.components.motherboard,1,1.7544
2020-12,computers.components.network_adapter,0,0.0000
2020-12,computers.components.power_supply,0,0.0000
2020-12,computers.components.sound_card,0,0.0000
2020-12,computers.components.tv_tuner,0,0.0000
2020-12,computers.components.videocards,7,3.8251
2020-12,computers.desktop,1,7.6923
2020-12,computers.ebooks,0,0.0000
2020-12,computers.network.router,0,0.0000
2020-12,computers.notebook,1,1.4493
2020-12,computers.peripherals.camera,1,3.2258
2020-12,computers.peripherals.joystick,1,7.1429
2020-12,computers.peripherals.keyboard,0,0.0000
2020-12,computers.peripherals.monitor,2,25.0000
2020-12,computers.peripherals.mouse,1,33.3333
2020-12,computers.peripherals.nas,0,0.0000
2020-12,computers.peripherals.printer,6,4.1667
2020-12,computers.peripherals.scanner,0,0.0000
2020-12,computers.peripherals.wifi,1,6.2500
2020-12,construction.tools.drill,0,0.0000
2020-12,construction.tools.light,1,9.0909
2020-12,construction.tools.saw,1,12.5000
2020-12,construction.tools.screw,0,0.0000
2020-12,construction.tools.soldering,0,0.0000
2020-12,construction.tools.welding,0,0.0000
2020-12,construction.tools.wrench,0,0.0000
2020-12,country_yard.cultivator,0,0.0000
2020-12,country_yard.weather_station,0,0.0000
2020-12,electronics.audio.acoustic,2,3.7736
2020-12,electronics.audio.headphone,0,0.0000
2020-12,electronics.audio.microphone,0,0.0000
2020-12,electronics.camera.video,0,0.0000
2020-12,electronics.clocks,0,0.0000
2020-12,electronics.tablet,0,0.0000
2020-12,electronics.telephone,8,3.2653
